millis	leftDistance	rightDistance	accel.x	accel.y	gyro.x	gyro.y	position	sensor1	sensor2	sensor3	sensor4	sensor5	sensor6	sensor7	sensor8	error	leftPWM	rightPWM	lost	last_sighted	Kp	Ki	Kd	Speed	ready
71763	17488.47	18577.34	0.00	0.00	1.50	125.00	1	4	3	1	12	849	930	1	0	1022	0	125	0	2	0.16	0.00	1.50	125.00	1
71778	17502.74	18583.28	0.00	0.00	1.50	125.00	1	2	2	1	984	867	894	1	0	467	125	0	0	2	0.16	0.00	1.50	125.00	1
71793	17515.81	18590.42	0.00	0.00	1.50	125.00	1	3	3	1	1000	885	1	0	0	-31	125	0	0	2	0.16	0.00	1.50	125.00	1
71808	17527.70	18598.74	0.00	0.00	1.50	125.00	1	2	2	1	1000	845	0	0	0	-43	125	101	0	2	0.16	0.00	1.50	125.00	1
71823	17540.78	18605.87	0.00	0.00	1.50	125.00	1	2	2	21	1000	835	0	0	0	-45	125	116	0	2	0.16	0.00	1.50	125.00	1
71838	17553.85	18615.38	0.00	0.00	1.50	125.00	1	2	2	895	1000	837	0	0	0	-522	125	0	0	2	0.16	0.00	1.50	125.00	1
71853	17564.55	18623.70	0.00	0.00	1.50	125.00	1	1	1	997	1000	372	0	0	0	-764	125	0	0	2	0.16	0.00	1.50	125.00	1
71868	17575.25	18633.21	0.00	0.00	1.50	125.00	1	1	1	1000	1000	6	0	0	0	-1000	125	0	0	2	0.16	0.00	1.50	125.00	1
71883	17585.95	18643.91	0.00	0.00	1.50	125.00	1	2	1	1000	1000	4	0	0	0	-1000	125	0	0	2	0.16	0.00	1.50	125.00	1
71899	17597.83	18654.61	0.00	0.00	1.50	125.00	1	1	0	1000	1000	26	0	0	0	-1000	125	0	0	2	0.16	0.00	1.50	125.00	1
71914	17607.34	18665.30	0.00	0.00	1.50	125.00	1	1	2	981	1000	735	0	0	0	-591	0	125	0	2	0.16	0.00	1.50	125.00	1
71929	17618.04	18674.81	0.00	0.00	1.50	125.00	1	1	0	433	1000	874	0	0	0	-309	0	125	0	2	0.16	0.00	1.50	125.00	1
71944	17628.74	18684.32	0.00	0.00	1.50	125.00	1	0	0	13	979	827	0	0	0	-43	0	125	0	2	0.16	0.00	1.50	125.00	1
71959	17639.44	18693.83	0.00	0.00	1.50	125.00	1	0	0	18	976	829	0	0	0	-41	125	122	0	2	0.16	0.00	1.50	125.00	1
71974	17651.33	18704.53	0.00	0.00	1.50	125.00	1	1	0	561	1000	833	880	846	1	609	0	125	0	2	0.16	0.00	1.50	125.00	1
71989	17662.03	18712.85	0.00	0.00	1.50	125.00	1	1	1	0	563	845	904	859	934	1684	0	125	0	2	0.16	0.00	1.50	125.00	1
72004	17673.91	18722.36	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	535	932	3135	0	125	0	2	0.16	0.00	1.50	125.00	1
72019	17686.99	18730.69	0.00	0.00	1.50	125.00	1	1	0	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72034	17698.88	18739.01	0.00	0.00	1.50	125.00	1	1	0	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72049	17711.95	18744.95	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72064	17726.21	18749.71	0.00	0.00	1.50	125.00	1	1	2	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72079	17740.48	18753.27	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72094	17754.74	18756.84	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72110	17769.01	18758.03	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72125	17784.46	18759.21	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	1	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72140	17799.92	18759.21	0.00	0.00	1.50	125.00	1	0	0	0	0	1	1	2	0	3500	0	125	1	2	0.16	0.00	1.50	125.00	1
72155	17815.37	18759.21	0.00	0.00	1.50	125.00	1	0	0	0	1	3	1	1	923	3500	0	125	0	2	0.16	0.00	1.50	125.00	1
72170	17829.63	18759.21	0.00	0.00	1.50	125.00	1	0	0	0	2	1	364	876	937	2763	125	0	0	2	0.16	0.00	1.50	125.00	1
72185	17843.90	18760.40	0.00	0.00	1.50	125.00	1	0	0	0	1	830	913	551	5	1378	125	0	0	2	0.16	0.00	1.50	125.00	1
72200	17856.97	18762.78	0.00	0.00	1.50	125.00	1	0	0	0	992	859	4	5	1	-36	125	0	0	2	0.16	0.00	1.50	125.00	1
72215	17870.05	18765.16	0.00	0.00	1.50	125.00	1	0	0	990	970	1	2	1	0	-1006	125	0	0	2	0.16	0.00	1.50	125.00	1
72230	17883.13	18767.54	0.00	0.00	1.50	125.00	1	0	1000	1000	0	1	0	0	0	-2000	125	0	0	2	0.16	0.00	1.50	125.00	1
72245	17895.01	18772.29	0.00	0.00	1.50	125.00	1	994	1000	1	0	0	0	0	0	-2999	125	0	0	1	0.16	0.00	1.50	125.00	1
72261	17905.71	18777.04	0.00	0.00	1.50	125.00	1	1000	0	0	0	0	0	0	0	-3500	125	0	0	1	0.16	0.00	1.50	125.00	1
72276	17916.41	18782.99	0.00	0.00	1.50	125.00	1	7	0	1	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72291	17924.73	18788.93	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72306	17931.87	18796.06	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72322	17937.81	18804.39	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72337	17942.56	18811.52	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72352	17946.13	18821.03	0.00	0.00	1.50	125.00	1	1	2	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72367	17947.32	18829.35	0.00	0.00	1.50	125.00	1	1	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72382	17948.51	18838.86	0.00	0.00	1.50	125.00	1	1	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
72397	17947.32	18848.37	0.00	0.00	1.50	125.00	1	796	0	0	0	1	0	0	0	-3500	125	0	0	1	0.16	0.00	1.50	125.00	1
72412	17947.32	18857.88	0.00	0.00	1.50	125.00	1	1000	58	0	0	0	0	0	0	-3446	125	0	0	1	0.16	0.00	1.50	125.00	1
72427	17947.32	18868.58	0.00	0.00	1.50	125.00	1	1000	1000	1	0	0	0	1	0	-3000	0	125	0	1	0.16	0.00	1.50	125.00	1
72442	17948.51	18876.90	0.00	0.00	1.50	125.00	1	1	979	1000	0	0	0	0	0	-1995	0	125	0	1	0.16	0.00	1.50	125.00	1
72457	17950.88	18885.22	0.00	0.00	1.50	125.00	1	0	950	972	959	0	0	0	0	-1497	0	125	0	1	0.16	0.00	1.50	125.00	1
72472	17953.26	18893.54	0.00	0.00	1.50	125.00	1	0	0	990	993	0	0	0	0	-1000	0	125	0	1	0.16	0.00	1.50	125.00	1
72487	17956.83	18900.67	0.00	0.00	1.50	125.00	1	2	0	986	1000	279	0	0	0	-813	0	125	0	1	0.16	0.00	1.50	125.00	1
72502	17960.39	18907.80	0.00	0.00	1.50	125.00	1	2	1	792	1000	810	0	0	0	-494	0	125	0	1	0.16	0.00	1.50	125.00	1
72517	17965.15	18913.75	0.00	0.00	1.50	125.00	1	2	1	216	1000	847	0	0	0	-195	0	125	0	1	0.16	0.00	1.50	125.00	1
72533	17969.90	18919.69	0.00	0.00	1.50	125.00	1	2	1	357	1000	843	0	0	0	-280	125	0	0	1	0.16	0.00	1.50	125.00	1
72548	17974.66	18925.63	0.00	0.00	1.50	125.00	1	2	1	921	1000	841	0	0	0	-529	125	0	0	1	0.16	0.00	1.50	125.00	1
72563	17980.60	18931.58	0.00	0.00	1.50	125.00	1	2	3	928	1000	833	0	0	0	-535	125	34	0	1	0.16	0.00	1.50	125.00	1
72578	17985.36	18937.52	0.00	0.00	1.50	125.00	1	1	0	827	1000	826	0	0	0	-501	125	99	0	1	0.16	0.00	1.50	125.00	1
72593	17990.11	18944.65	0.00	0.00	1.50	125.00	1	0	0	317	991	845	0	0	0	-255	0	125	0	1	0.16	0.00	1.50	125.00	1
72608	17994.87	18950.60	0.00	0.00	1.50	125.00	1	0	0	21	964	863	0	0	0	-28	0	125	0	1	0.16	0.00	1.50	125.00	1
72623	18000.81	18955.35	0.00	0.00	1.50	125.00	1	0	0	422	997	853	0	0	0	-311	125	0	0	1	0.16	0.00	1.50	125.00	1
72638	18005.56	18962.49	0.00	0.00	1.50	125.00	1	1	0	960	1000	858	0	0	0	-537	125	0	0	1	0.16	0.00	1.50	125.00	1
72653	18010.32	18968.43	0.00	0.00	1.50	125.00	1	1	1	964	1000	801	0	0	0	-559	125	6	0	1	0.16	0.00	1.50	125.00	1
72668	18015.07	18974.37	0.00	0.00	1.50	125.00	1	1	0	938	1000	805	0	0	0	-549	125	55	0	1	0.16	0.00	1.50	125.00	1
72683	18021.02	18981.51	0.00	0.00	1.50	125.00	1	2	2	872	1000	859	0	0	0	-505	125	113	0	1	0.16	0.00	1.50	125.00	1
72698	18025.77	18988.64	0.00	0.00	1.50	125.00	1	2	2	663	996	841	0	1	0	-429	78	125	0	1	0.16	0.00	1.50	125.00	1
72713	18030.53	18995.77	0.00	0.00	1.50	125.00	1	2	1	324	988	838	0	0	0	-261	0	125	0	1	0.16	0.00	1.50	125.00	1
72728	18036.47	19000.53	0.00	0.00	1.50	125.00	1	2	1	612	1000	818	0	0	0	-416	125	0	0	1	0.16	0.00	1.50	125.00	1
72744	18041.23	19008.85	0.00	0.00	1.50	125.00	1	3	2	941	1000	817	0	0	0	-545	125	0	0	1	0.16	0.00	1.50	125.00	1
72759	18047.17	19014.79	0.00	0.00	1.50	125.00	1	2	1	961	1000	814	0	0	0	-553	125	28	0	1	0.16	0.00	1.50	125.00	1
72774	18051.93	19021.92	0.00	0.00	1.50	125.00	1	1	0	957	1000	804	0	0	0	-556	125	35	0	1	0.16	0.00	1.50	125.00	1
72789	18056.68	19029.05	0.00	0.00	1.50	125.00	1	0	0	1000	1000	807	0	0	0	-569	125	18	0	1	0.16	0.00	1.50	125.00	1
72804	18061.44	19036.19	0.00	0.00	1.50	125.00	1	0	0	827	1000	843	0	0	0	-495	91	125	0	1	0.16	0.00	1.50	125.00	1
72819	18066.19	19044.51	0.00	0.00	1.50	125.00	1	0	0	187	1000	839	0	0	0	-179	0	125	0	1	0.16	0.00	1.50	125.00	1
72834	18070.95	19050.45	0.00	0.00	1.50	125.00	1	0	0	27	1000	839	0	0	0	-44	0	125	0	1	0.16	0.00	1.50	125.00	1
72849	18076.89	19057.58	0.00	0.00	1.50	125.00	1	1	0	612	1000	875	0	0	0	-395	125	0	0	1	0.16	0.00	1.50	125.00	1
72864	18082.83	19064.72	0.00	0.00	1.50	125.00	1	1	1	989	965	865	0	0	0	-544	125	0	0	1	0.16	0.00	1.50	125.00	1
72879	18087.59	19070.66	0.00	0.00	1.50	125.00	1	1	0	992	995	689	0	0	0	-614	125	0	0	1	0.16	0.00	1.50	125.00	1
72894	18092.34	19077.79	0.00	0.00	1.50	125.00	1	1	1	991	1000	655	0	0	0	-627	125	9	0	1	0.16	0.00	1.50	125.00	1
72909	18097.10	19086.11	0.00	0.00	1.50	125.00	1	1	2	1000	1000	781	0	0	0	-579	125	108	0	1	0.16	0.00	1.50	125.00	1
72924	18103.04	19093.25	0.00	0.00	1.50	125.00	1	2	2	986	1000	866	0	0	0	-543	125	95	0	1	0.16	0.00	1.50	125.00	1
72939	18107.79	19101.57	0.00	0.00	1.50	125.00	1	1000	137	952	1000	860	0	0	0	-1353	125	0	0	1	0.16	0.00	1.50	125.00	1
72955	18112.55	19109.89	0.00	0.00	1.50	125.00	1	1000	1000	1000	1000	843	0	0	0	-1565	125	0	0	1	0.16	0.00	1.50	125.00	1
72970	18117.30	19118.21	0.00	0.00	1.50	125.00	1	991	950	974	1000	828	0	0	0	-1559	125	0	0	1	0.16	0.00	1.50	125.00	1
72985	18122.06	19126.53	0.00	0.00	1.50	125.00	1	2	7	929	986	838	0	0	0	-534	0	125	0	1	0.16	0.00	1.50	125.00	1
73000	18126.81	19134.85	0.00	0.00	1.50	125.00	1	1	1	0	0	0	1	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73015	18130.38	19144.36	0.00	0.00	1.50	125.00	1	3	2	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73030	18132.76	19152.68	0.00	0.00	1.50	125.00	1	0	0	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73045	18135.14	19162.19	0.00	0.00	1.50	125.00	1	1	2	1	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73060	18135.14	19171.70	0.00	0.00	1.50	125.00	1	3	3	2	1	0	0	1	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73075	18135.14	19182.40	0.00	0.00	1.50	125.00	1	3	3	1	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73090	18135.14	19191.91	0.00	0.00	1.50	125.00	1	1	2	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73105	18133.95	19202.61	0.00	0.00	1.50	125.00	1	3	4	1	2	1	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73120	18132.76	19213.31	0.00	0.00	1.50	125.00	1	1	0	0	0	1	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
73135	18131.57	19224.00	0.00	0.00	1.50	125.00	1	1	1	0	0	0	0	0	0	-3500	125	0	1	1	0.16	0.00	1.50	125.00	1
